"feature","ref_CI","permuted_CI","algo","model"
"ASXL1",0.603671568528972,0.602252130043443,"Lasso","all_gen"
"ASXL1",0.603671568528972,0.593117152950064,"Lasso","all_gen"
"ASXL1",0.603671568528972,0.592841566389715,"Lasso","all_gen"
"ASXL1",0.603671568528972,0.603585110000235,"Lasso","all_gen"
"ASXL2",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL2",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL2",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL2",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ASXL3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ATRX",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ATRX",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ATRX",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"ATRX",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BAGE3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BAGE3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BAGE3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BAGE3",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BCOR",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BCOR",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BCOR",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BCOR",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BRAF",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BRAF",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BRAF",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"BRAF",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBFB",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBFB",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBFB",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBFB",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBL",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBL",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBL",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CBL",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CDKN2A",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CDKN2A",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CDKN2A",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CDKN2A",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CEBPA_bi",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CEBPA_bi",0.603671568528972,0.603671568528972,"Lasso","all_gen"
"CEBPA_bi",0.603671568528972,0.603671568528972,"Lasso","all_gen"
