"Dataset","Model","R_squared"
"Training Cohort","Model",0.135215269105004
"Training Cohort","Model",0.169170334836709
"Training Cohort","Model",0.159868441842531
"Training Cohort","Model",0.154846037391822
"Training Cohort","Model",0.166846512199623
"Training Cohort","Model",0.156874694694581
"Training Cohort","Model",0.129970528089677
"Training Cohort","Model",0.14770507837109
"Training Cohort","Model",0.142172718215632
"Training Cohort","Model",0.151152361235136
"Training Cohort","Model",0.127795316844033
"Training Cohort","Model",0.14301705654923
"Training Cohort","Model",0.154693701307427
"Training Cohort","Model",0.146301405166651
"Training Cohort","Model",0.149614686798874
"Training Cohort","Model",0.140254929983916
"Training Cohort","Model",0.112878531680241
"Training Cohort","Model",0.147569302782996
"Training Cohort","Model",0.134249634606248
"Training Cohort","Model",0.119125623491512
"Training Cohort","Model",0.160204700800537
"Training Cohort","Model",0.125979818611906
"Training Cohort","Model",0.154761328478318
"Training Cohort","Model",0.15329526084673
"Training Cohort","Model",0.198803430365866
"Training Cohort","Model",0.144599330152301
"Training Cohort","Model",0.149962256374197
"Training Cohort","Model",0.149340641442736
"Training Cohort","Model",0.166261415945904
"Training Cohort","Model",0.136754262485145
"Training Cohort","Model",0.140775075553954
"Training Cohort","Model",0.134144930807283
"Training Cohort","Model",0.156131272355589
"Training Cohort","Model",0.165573742348182
"Training Cohort","Model",0.157928725044033
"Training Cohort","Model",0.157975151232447
"Training Cohort","Model",0.144184415079009
"Training Cohort","Model",0.148140741983149
"Training Cohort","Model",0.121263470138573
"Training Cohort","Model",0.144676162796959
"Training Cohort","Model",0.171961661287821
"Training Cohort","Model",0.125650777124474
"Training Cohort","Model",0.140601538651978
"Training Cohort","Model",0.155613091265515
"Training Cohort","Model",0.122075415667342
"Training Cohort","Model",0.171522719045372
"Training Cohort","Model",0.125944295236223
"Training Cohort","Model",0.145878148489737
"Training Cohort","Model",0.131036456413867
"Training Cohort","Model",0.140272113389503
"Training Cohort","Model",0.135696075506473
"Training Cohort","Model",0.128557391043364
"Training Cohort","Model",0.134000140025325
"Training Cohort","Model",0.181296434013879
"Training Cohort","Model",0.168843166437169
"Training Cohort","Model",0.17118021973265
"Training Cohort","Model",0.13986078266041
"Training Cohort","Model",0.132918844613676
"Training Cohort","Model",0.163819141058183
"Training Cohort","Model",0.145061421249045
"Training Cohort","Model",0.159449820963899
"Training Cohort","Model",0.134361199267134
"Training Cohort","Model",0.143450850895053
"Training Cohort","Model",0.157140373632763
"Training Cohort","Model",0.12944838353918
"Training Cohort","Model",0.133260282919731
"Training Cohort","Model",0.178140670211289
"Training Cohort","Model",0.164288734509945
"Training Cohort","Model",0.149347776779794
"Training Cohort","Model",0.137777491420334
"Training Cohort","Model",0.141871694884922
"Training Cohort","Model",0.117915784568475
"Training Cohort","Model",0.185937084868737
"Training Cohort","Model",0.122938057936449
"Training Cohort","Model",0.135872070411971
"Training Cohort","Model",0.134573736810293
"Training Cohort","Model",0.164265005444017
"Training Cohort","Model",0.188500819787445
"Training Cohort","Model",0.156923931695414
"Training Cohort","Model",0.160932008505879
"Training Cohort","Model",0.150485402698879
"Training Cohort","Model",0.164009747397218
"Training Cohort","Model",0.125817053212488
"Training Cohort","Model",0.137029626488626
"Training Cohort","Model",0.123853945951484
"Training Cohort","Model",0.159682358980511
"Training Cohort","Model",0.165949676819738
"Training Cohort","Model",0.136420037258438
"Training Cohort","Model",0.157484326780945
"Training Cohort","Model",0.145830579781604
