"Dataset","Model","R_squared"
"Training Cohort","Model",0.111729347278163
"Training Cohort","Model",0.14046802976817
"Training Cohort","Model",0.10771793636065
"Training Cohort","Model",0.145532057105509
"Training Cohort","Model",0.140258713122387
"Training Cohort","Model",0.14634653444588
"Training Cohort","Model",0.124597604041633
"Training Cohort","Model",0.153674569794821
"Training Cohort","Model",0.121849406595646
"Training Cohort","Model",0.116498121113355
"Training Cohort","Model",0.133531008676526
"Training Cohort","Model",0.145100513239115
"Training Cohort","Model",0.137725562902552
"Training Cohort","Model",0.131078987507188
"Training Cohort","Model",0.105337304468898
"Training Cohort","Model",0.10876035708703
"Training Cohort","Model",0.11625644491841
"Training Cohort","Model",0.128537949445994
"Training Cohort","Model",0.12055499220856
"Training Cohort","Model",0.104037586076221
"Training Cohort","Model",0.129515859367288
"Training Cohort","Model",0.134003245445159
"Training Cohort","Model",0.156402014530237
"Training Cohort","Model",0.138634689634471
"Training Cohort","Model",0.160005805518702
"Training Cohort","Model",0.151362783579468
"Training Cohort","Model",0.122356438883461
"Training Cohort","Model",0.148660427741209
"Training Cohort","Model",0.11921588271355
"Training Cohort","Model",0.122345695474164
"Training Cohort","Model",0.168050090114825
"Training Cohort","Model",0.136692460143355
"Training Cohort","Model",0.150002931464786
"Training Cohort","Model",0.14217321530799
"Training Cohort","Model",0.109382542193237
"Training Cohort","Model",0.111448333046582
"Training Cohort","Model",0.165307227813236
"Training Cohort","Model",0.147734091574999
"Training Cohort","Model",0.0999162483246344
"Training Cohort","Model",0.109533839704398
"Training Cohort","Model",0.120061613394209
"Training Cohort","Model",0.119996312412973
"Training Cohort","Model",0.113428505803022
"Training Cohort","Model",0.125850534234785
"Training Cohort","Model",0.112371123900914
"Training Cohort","Model",0.119832667598051
"Training Cohort","Model",0.143477454145803
"Training Cohort","Model",0.130970746358151
"Training Cohort","Model",0.104190945252261
"Training Cohort","Model",0.129477490602646
"Training Cohort","Model",0.142861552340513
"Training Cohort","Model",0.14386610839237
"Training Cohort","Model",0.144837825477894
"Training Cohort","Model",0.130269741474452
"Training Cohort","Model",0.134147586188722
"Training Cohort","Model",0.126482120713664
"Training Cohort","Model",0.107181598251484
"Training Cohort","Model",0.101434291752644
"Training Cohort","Model",0.124291068886387
"Training Cohort","Model",0.107399816571704
"Training Cohort","Model",0.156304378760431
"Training Cohort","Model",0.138455074489275
"Training Cohort","Model",0.140719189536427
"Training Cohort","Model",0.0998222679482083
"Training Cohort","Model",0.146254887962365
"Training Cohort","Model",0.1043041268756
"Training Cohort","Model",0.122814233978438
"Training Cohort","Model",0.117031371052919
"Training Cohort","Model",0.138822544462537
"Training Cohort","Model",0.109610663065917
"Training Cohort","Model",0.103368137606778
"Training Cohort","Model",0.141144766633021
"Training Cohort","Model",0.125221806787496
"Training Cohort","Model",0.0999613952041464
"Training Cohort","Model",0.113644668134836
"Training Cohort","Model",0.127581542465584
"Training Cohort","Model",0.127086419048339
"Training Cohort","Model",0.129872169073413
"Training Cohort","Model",0.121230826399716
"Training Cohort","Model",0.133302201483528
"Training Cohort","Model",0.131251429845288
"Training Cohort","Model",0.14638362410319
"Training Cohort","Model",0.12711391207031
"Training Cohort","Model",0.110528869061405
"Training Cohort","Model",0.113536487254173
"Training Cohort","Model",0.124177180905241
"Training Cohort","Model",0.127006888537217
"Training Cohort","Model",0.157624721150294
"Training Cohort","Model",0.120920205224073
