"Dataset","Model","R_squared"
"Validation Cohort","Model",0.148893013137245
"Validation Cohort","Model",0.133237154057016
"Validation Cohort","Model",0.171152010222637
"Validation Cohort","Model",0.158081969216998
"Validation Cohort","Model",0.176994586504743
"Validation Cohort","Model",0.160523683440636
"Validation Cohort","Model",0.116248547878906
"Validation Cohort","Model",0.141655594601761
"Validation Cohort","Model",0.157132362360277
"Validation Cohort","Model",0.13689906731407
"Validation Cohort","Model",0.127631799849477
"Validation Cohort","Model",0.164760383534728
"Validation Cohort","Model",0.137117112047757
"Validation Cohort","Model",0.158763755791063
"Validation Cohort","Model",0.133770859755562
"Validation Cohort","Model",0.16176298814226
"Validation Cohort","Model",0.142473955082131
"Validation Cohort","Model",0.113076340543853
"Validation Cohort","Model",0.157517738070504
"Validation Cohort","Model",0.12885992342729
"Validation Cohort","Model",0.177824553351791
"Validation Cohort","Model",0.116531781940294
"Validation Cohort","Model",0.115536584497859
"Validation Cohort","Model",0.115774883399647
"Validation Cohort","Model",0.133109471669741
"Validation Cohort","Model",0.123422728494229
"Validation Cohort","Model",0.154945043132598
"Validation Cohort","Model",0.161671254981831
"Validation Cohort","Model",0.141916203160129
"Validation Cohort","Model",0.148809961361118
"Validation Cohort","Model",0.14588696983288
"Validation Cohort","Model",0.149751093817847
"Validation Cohort","Model",0.121948483923852
"Validation Cohort","Model",0.107380497410198
"Validation Cohort","Model",0.138488708070828
"Validation Cohort","Model",0.133514567725042
"Validation Cohort","Model",0.137957086042015
"Validation Cohort","Model",0.147283737785689
"Validation Cohort","Model",0.159218421218093
"Validation Cohort","Model",0.149323502409767
"Validation Cohort","Model",0.113146543256786
"Validation Cohort","Model",0.132840315173769
"Validation Cohort","Model",0.156448024365678
"Validation Cohort","Model",0.117022698989812
"Validation Cohort","Model",0.148819574831806
"Validation Cohort","Model",0.169976279487157
"Validation Cohort","Model",0.158547621895853
"Validation Cohort","Model",0.140013436715765
"Validation Cohort","Model",0.15056887333793
"Validation Cohort","Model",0.144691616174448
"Validation Cohort","Model",0.181418410577622
"Validation Cohort","Model",0.151034525087772
"Validation Cohort","Model",0.145307894965261
"Validation Cohort","Model",0.140830880852304
"Validation Cohort","Model",0.161226735003728
"Validation Cohort","Model",0.179258677520254
"Validation Cohort","Model",0.153681815279798
"Validation Cohort","Model",0.0908148303909222
"Validation Cohort","Model",0.132917838111742
"Validation Cohort","Model",0.134426278479109
"Validation Cohort","Model",0.133366416875629
"Validation Cohort","Model",0.157222557653228
"Validation Cohort","Model",0.112327904801613
"Validation Cohort","Model",0.1625660034928
"Validation Cohort","Model",0.166210993880368
"Validation Cohort","Model",0.149945112493145
"Validation Cohort","Model",0.151107393577212
"Validation Cohort","Model",0.117085631255412
"Validation Cohort","Model",0.132679968125443
"Validation Cohort","Model",0.142545471595931
"Validation Cohort","Model",0.154158758416433
"Validation Cohort","Model",0.129813404287054
"Validation Cohort","Model",0.109991048265664
"Validation Cohort","Model",0.159793187458073
"Validation Cohort","Model",0.144406379271594
"Validation Cohort","Model",0.154887174247151
"Validation Cohort","Model",0.13857938447168
"Validation Cohort","Model",0.128401214762855
"Validation Cohort","Model",0.164083966015211
"Validation Cohort","Model",0.123963340568433
"Validation Cohort","Model",0.139885896184241
"Validation Cohort","Model",0.136928437906434
